Company,n_obs,alpha_ols,beta_eqw,se_beta_hc1_eqw,p_beta_hc1_eqw,se_beta_hac_eqw,p_beta_hac_eqw,R2,DW,bp_stat,bp_p,maxlags_hac
ASML,83,-0.0014253450468997703,1.1229001110598142,0.08128581933281322,5.313926440726595e-23,0.09603991971897383,4.513053468937135e-19,0.5803696785687007,1.6190404968878274,0.20357090841360326,0.651853820396308,3
Accenture,83,-0.002622250880782953,0.8753013831974695,0.06889916500799975,5.657122452367339e-21,0.06677232538797669,1.0144488371318752e-21,0.6340884519666734,1.6745017954659145,2.843422270700106,0.09174861569047296,3
Adobe,83,-0.006613839928136423,1.0687672901529979,0.11220502696592008,7.29327868857404e-15,0.10977850443288678,2.8065207642069612e-15,0.5450188277395087,1.8890320073582778,0.2902791191328865,0.5900417196953927,3
Alphabet,83,0.0023793399345241745,0.7750628760452515,0.07914455988766239,2.1645698435187693e-15,0.08083910286936671,5.489522662557045e-15,0.49111374012555453,2.0821627854492646,0.6343527950420357,0.4257631609502809,3
Amazon,83,-0.0028983829979875204,1.072074210526802,0.10981443257943056,2.4841658166672428e-15,0.10068319813108831,4.6028225866196254e-17,0.6201426032076983,2.0733624232074157,0.6503151723043527,0.4200000197768998,3
Apple,83,0.008080581254395454,0.9378054439774605,0.09170771199411287,3.0610293576325645e-16,0.09592545425975212,2.333630760315845e-15,0.5367628181231214,1.7568568936625846,0.002048050428936965,0.9639037436805105,3
Broadcom,83,0.01610880217144956,0.90060660923814,0.11464882180535861,1.446970745217675e-11,0.11489513446252789,1.5615875444645904e-11,0.4096602602960877,2.0127687607963707,0.00020978617250189124,0.9884438463761268,3
Cisco,83,-0.0028438571605958933,0.629641327804077,0.09569557962174322,4.31357759010002e-09,0.08700691561079976,2.346590708857964e-10,0.34195391683487675,2.1608183298365726,1.7400336557144287,0.18713456239664475,3
Cloudflare,63,0.0006199294648715358,1.5074364220657697,0.28020215850139735,1.249799862406404e-06,0.30264156163476374,5.50898331972305e-06,0.3176647530543286,2.0306442100895468,0.1276989259123904,0.7208299041953438,3
Fortinet,83,0.014253288188892125,0.910983662296658,0.15591370068455584,1.0299216359434429e-07,0.12473516660168937,1.7409990079005423e-10,0.29935609493106263,2.174346848893473,0.10618320243975177,0.7445320652202994,3
IBM,83,-0.00012148647677812124,0.5340758725094789,0.14139026296960272,0.0003013214264148479,0.16657532085282287,0.0019258003962841145,0.22485799817319885,2.112650506106067,1.054853389169259,0.30439194967225786,3
Infosys,83,0.002548887980209509,0.6934973297078615,0.10742163384729364,7.408748167119393e-09,0.1008535482234993,1.1676094015068144e-09,0.33736268718626716,1.8893218110340648,0.02429041185855707,0.8761482501015213,3
Intel,83,-0.020256506459223656,0.7660304920262601,0.14283242607532304,7.561674282403876e-07,0.14220858116232124,6.868260810905038e-07,0.2304198708363666,2.017754191427385,0.0239532030792855,0.877004043095867,3
Meta Platforms,83,-0.0015322697954110026,1.014202517016397,0.14919480087981282,1.6517706687141017e-09,0.10221573038265724,1.2063939227304499e-15,0.3427885560593291,1.9872748085994194,0.007010542318247492,0.933271914258708,3
Microsoft,83,0.007825210877281519,0.7310214203308809,0.06162058106202273,2.1345115284090577e-19,0.05082496154834834,5.152510360356664e-24,0.6552354901936079,1.9968779839914454,3.2670900177286857,0.07068289958224801,3
Netflix,83,-0.005853491203661167,1.3356045696787655,0.2890947413408664,1.4284073625784638e-05,0.29663164288750427,2.2278484349218934e-05,0.4904083017043833,1.8066980821057763,13.801723931911656,0.00020314973884858444,3
Nvidia,83,0.012834508645541452,1.6236787463163846,0.1587946528292442,3.074910141909465e-16,0.17514056821958313,2.3175175990895614e-14,0.575615886024366,1.7083484948163348,0.14026557575166942,0.7080171367054078,3
Oracle,83,0.0038244654616400907,0.7612976871118813,0.08141652217099986,1.61128105076677e-14,0.09166241550787757,1.876281092828659e-12,0.4103201611553481,2.4213557150226612,0.2492243684641564,0.6176217536840474,3
Palantir,51,0.010506584038675276,2.273104183470374,0.5057277202856044,4.266793047722226e-05,0.47897535008840536,1.8390819152121763e-05,0.4075075127613257,2.48711506509697,3.7661332231435107,0.05230040719230651,3
SAP,83,-0.002031997850136801,0.8484602051706859,0.09584552697810049,1.5560586730450548e-13,0.09216323002513571,3.1099695594956546e-14,0.42659115746107557,1.9436856916512537,0.1665016762012801,0.6832397794718643,3
Salesforce,83,-0.003913085366857371,1.1158774985812556,0.11267663696924697,1.313545615943393e-15,0.10864214852054156,2.49840281149555e-16,0.5918318845664866,2.0119556086164807,0.9183175463530089,0.3379171177566661,3
Samsung,83,-0.005955290906689761,0.5918675502819336,0.10344589874176789,1.7158827302789737e-07,0.10623006291405408,3.2062770669185415e-07,0.26785874357055695,1.954436371761445,1.3063641401147037,0.25305400418545243,3
ServiceNow,83,0.009395587433584504,0.9411925571531861,0.08307747195698936,2.227291240967503e-18,0.09449070818704966,1.0136035023512117e-15,0.6118875137289308,2.221935532039064,4.387597330397355,0.03620129504761244,3
Snowflake,51,-0.023110487009639684,1.015399209829228,0.2440846304054701,0.00012781151578503133,0.2525079598240309,0.0001995122510480863,0.3000978879618341,2.0699102341186983,0.1402860667503092,0.7079967887267669,3
Sony,83,-0.0017029220226571812,0.7743120470552879,0.09282410342575713,1.5910196177228784e-12,0.10507077261006266,1.294398710123249e-10,0.40055710959783053,2.2635465198811744,0.011455548734281895,0.9147647061251832,3
Spotify,80,-0.011248802989602201,1.5049237995806248,0.145969869623325,3.21363381773557e-16,0.13486167596749202,7.868796686011363e-18,0.5597675550061347,2.0011675150376034,0.036438247349419584,0.8486133033230008,3
Taiwan Semiconductor,83,0.006142156638341884,0.9138106735391779,0.11714417823258137,1.8526779021736237e-11,0.109988312476772,1.8525284013155046e-12,0.40948692242650964,2.2421943657779537,1.2832255381438817,0.2573001614219354,3
Tencent,83,-0.006553830423300634,0.4396909388268779,0.17927714585358379,0.016332007764401697,0.154771579987488,0.005688131887682407,0.08003434232070161,2.05196394974306,0.00016841633185327165,0.989645718371452,3
Tesla,83,0.008110343539207214,1.7385431773291915,0.26978236302799424,7.792869148513096e-09,0.29040236622208365,5.5974769467640404e-08,0.36447022283987085,1.7876969082376368,0.0022139969599248577,0.96247088347387,3
Workday,83,-0.006924832841784384,1.0725850918318136,0.13090684919999146,3.121079996306737e-12,0.12777123693386377,1.250956250897036e-12,0.4633219873463793,2.230707166369677,0.321715425130752,0.5705785564897383,3
