Company,n_obs,alpha_ols,beta_qqq,se_beta_hc1_qqq,p_beta_hc1_qqq,se_beta_hac_qqq,p_beta_hac_qqq,R2,DW,bp_stat,bp_p,maxlags_hac
ASML,82,-0.0018447872762354317,1.2708372249779694,0.09628415183123899,8.80380581750852e-22,0.1162714372254883,1.5345126110449275e-17,0.589798425369424,1.6264170391654889,0.32354363854867185,0.569485790095116,3
Accenture,82,-0.0033686583260340314,0.9917493741194814,0.0700804923857765,1.740377546592274e-23,0.06719032078435735,1.5057848285756744e-24,0.6435247242836641,1.7870324033984504,0.6016804779488838,0.4379375650057943,3
Adobe,82,-0.007850011881940143,1.1936816651571796,0.12067959953078271,1.5745042027458332e-15,0.11436653694496425,1.3665750507979916e-16,0.5383275261759106,1.9602804662041005,0.2553677483156085,0.6133205859357398,3
Alphabet,82,0.0019610178309993876,0.9250836981880353,0.08222815499696057,3.7434412005051935e-18,0.07733644138829533,1.6879437228030412e-19,0.5619944645532777,2.253696041798886,0.34903050296412785,0.5546624525167154,3
Amazon,82,-0.004816031366632723,1.251690186591557,0.11354980205350314,1.0161961556944653e-17,0.1036959793063482,1.0550692051108089e-19,0.6689808825043355,1.9976776074728102,0.1797811315378519,0.671561400123511,3
Apple,82,0.005054596578223322,1.1729767271601101,0.08466345703218196,5.84227664061021e-23,0.08511314505805526,7.887588036887637e-23,0.6659290762139204,1.8293619237705223,0.01991726586940068,0.8877683946440266,3
Broadcom,82,0.01629935753309649,0.9765632304029351,0.13114308112830061,9.726055557666051e-11,0.13587548921385603,3.0927992073549793e-10,0.3814387749069388,1.9813851981447415,0.22709889234751413,0.6336833498316898,3
Cisco,82,-0.003903649686879707,0.6863046984819681,0.1061146733716905,7.32923084675195e-09,0.09435439418524526,2.1043553848133203e-10,0.32486638008970325,2.2365892756918857,2.5436503394802097,0.11073850311746122,3
Cloudflare,63,0.006229853323835891,1.3279156504396752,0.3502845690701252,0.0003463755543912755,0.3718499964575574,0.0007006513505034,0.19149076456030656,1.9906367904003683,0.10591880260631725,0.744839239792356,3
Fortinet,82,0.013455105843713112,0.9715577239651548,0.17292006316040506,2.7081252247514664e-07,0.13574307749389464,3.531883225454585e-10,0.27025759971018504,2.178524607898452,0.05330853562581184,0.8174030465757911,3
IBM,82,0.0002631203144894123,0.5823248803012103,0.1519224577166346,0.00025088173953414003,0.1805373998320923,0.0018221901388657798,0.21237214573994712,2.1729182809249568,0.7324825200659535,0.3920796887752024,3
Infosys,82,0.0029994488150488297,0.7349125781487966,0.12998951327620897,2.3409623001254167e-07,0.12264307426786761,5.643281956758407e-08,0.30009757175439655,1.9084626575491999,0.023495431091948404,0.8781757416203441,3
Intel,82,-0.02132336382975532,0.8570946282767195,0.15999527965168903,7.931352795831517e-07,0.1635992866386231,1.2791792469536912e-06,0.22838859326404448,2.02563522724361,0.013631507057212167,0.9070549612645556,3
Meta Platforms,82,-0.0022999870169871177,1.1855328325617844,0.15892608494136165,9.1723953975859e-11,0.11430637637591251,1.8327215459054562e-16,0.3715264051783498,1.9314786386782685,0.01542653832225338,0.9011540589544301,3
Microsoft,82,0.006951083847379786,0.8629076859857737,0.054565406403913976,2.432240607722398e-26,0.04759334938271445,4.584574370338909e-30,0.7235373824594901,2.1292336690970575,3.4173478190694766,0.06451458202473202,3
Netflix,82,-0.006280316804967891,1.4004514318941765,0.32790380554492304,5.3187946516255684e-05,0.33861078217211243,8.668255543742942e-05,0.4274083283510395,1.63425233895138,12.581805886410455,0.00038952016969599296,3
Nvidia,82,0.011269227610532902,1.8831965261733312,0.18268901951705616,2.4316711357458647e-16,0.21082784664029638,1.1927747948193517e-13,0.6130859124193204,1.7219009816882143,0.14379180233946176,0.7045401717059431,3
Oracle,82,0.003652578472451959,0.8511895577307549,0.09371304890855554,6.035839125581535e-14,0.10367767121373046,3.1344822767685096e-12,0.40634819228633046,2.4520787065945773,0.27118750952122395,0.6025362911116865,3
Palantir,51,0.013980323426624103,2.142155280101973,0.5657554585428987,0.00041786954490725486,0.5064873038232905,0.00010206672903156231,0.26007123989345504,2.4427085222274987,3.319656597198967,0.06845612668906181,3
SAP,82,-0.0016110445055927411,0.9519127406027227,0.10813367050897363,2.14130969255088e-13,0.09281954085449677,3.0772982599281616e-16,0.43050674278557166,2.009521147588012,0.1281591991845119,0.7203483313811645,3
Salesforce,82,-0.003893239837863955,1.18072253068558,0.14240658941246825,2.1711199293105372e-12,0.13226966604780013,1.2242690078779383e-13,0.5237683760789714,2.044645312240315,2.342869632853521,0.12585751582897384,3
Samsung,82,-0.00556709522065129,0.6556937485851958,0.11468304808463832,1.7945688452412786e-07,0.11221424833188906,1.0593511697862232e-07,0.26202197248253567,1.9030997997425756,1.3967140514075267,0.23727452118647538,3
ServiceNow,82,0.00959771681090158,0.941556901973004,0.11637967807271106,5.379020409994964e-12,0.11517778518979478,3.673913842811297e-12,0.48688840581552106,2.194353700581178,6.434194676987143,0.011194389930089347,3
Snowflake,51,-0.021054182681006214,0.9170118210118219,0.3030052874813438,0.003936957517114343,0.30562860867772473,0.004231067262215957,0.17588656141240244,2.0284593282216394,0.0403283649767473,0.8408399222866282,3
Sony,82,-0.0026374257941808223,0.8548046794414446,0.11075310012645609,2.8779568636458712e-11,0.11579368496152753,1.2971272296281817e-10,0.387098926452091,2.191080351924646,0.13786865371840973,0.7104091200020933,3
Spotify,80,-0.0113216548873637,1.59790339964496,0.17286652884281237,3.638035466033136e-14,0.1538861597323415,2.3220815761439915e-16,0.49561812407754446,1.865613620983826,0.12815214476798786,0.7203557048796937,3
Taiwan Semiconductor,82,0.006524709461321649,1.0011592315141449,0.13085753089206734,3.894743841394949e-11,0.11050336680187935,6.696037324438364e-14,0.39075949991092973,2.2318425963367257,1.7561700506756945,0.18510294743604294,3
Tencent,82,-0.004602535143533967,0.3917511254245229,0.19964605402345548,0.05321307349030763,0.16434730411619825,0.01951000182637034,0.050512651731262515,2.0649759164289483,0.0044644739237911235,0.9467276134002537,3
Tesla,82,0.008329817517092867,1.893002657637684,0.3092290522299499,3.252760660121456e-08,0.34254049202884734,3.964094734732633e-07,0.3420676543410742,1.7483893691913788,0.04913546063711549,0.8245745229915598,3
Workday,82,-0.006937545836315704,1.1042142322340383,0.1459579826302166,5.71487530271522e-11,0.14566409669451222,5.336855288638243e-11,0.38905940171923736,2.1684961690619007,0.010291555817197873,0.9191953856881575,3
